team,Indiana Pacers,Dallas Mavericks,Brooklyn NetsWashington Wizards,Washington Wizards,Sacramento Kings,Los Angeles Lakers,New Orleans Pelicans,Denver Nuggets,Los Angeles Clippers,Minnesota Timberwolves,Toronto Raptors,Orlando Magic,Chicago Bulls,Philadelphia 76ers,Houston Rockets,Detroit Pistons,Cleveland Cavaliers,San Antonio Spurs,Atlanta Hawks,New York Knicks,Milwaukee Bucks,Oklahoma City Thunder,Charlotte Hornets,Miami Heat,Memphis Grizzlies,Portland Trail Blazers,Utah Jazz,Phoenix Suns,Golden State Warriors,Boston Celtics
kd,0.348,0.583,0,0.525,0.606,0.467,0.511,0.587,0.65,0.526,0.553,0.594,0.4,0.579,0.5,0.595,0.421,0.444,0.632,0.5,0.533,0.461,0.447,0.452,0.464,0.583,0.486,0.667,0,0.444
lj,0.558,0.314,0.617,0.589,0.514,0,0.514,0.421,0.654,0.667,0.571,0.521,0.583,0.505,0.529,0.53,0,0.5,0.607,0.463,0.575,0.55,0.514,0.455,0.526,0.588,0.568,0.688,0.389,0.537
jh,0.395,0.463,0.558,0.594,0.375,0.524,0.417,0.462,0.524,0.39,0.32,0.633,0,0.439,0,0.2,0.351,0.462,0.467,0.42,0.381,0.412,0.4,0.451,0.431,0.537,0.614,0.438,0.462,0.289
kl,0.375,0.559,0.588,0.433,0.49,0.433,0.556,0.415,0.56,0.606,0.645,0.64,0.615,0.471,0.444,0.541,0.533,0.677,0.667,0.565,0.364,0.367,0.559,0.433,0.451,0.417,0.464,0.574,0,0.267
